"Symbol: ESH22",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-02-09 11:02:00,4564,4566.5,4564,4565.5,1.5,2524,
2022-02-09 11:03:00,4565.75,4566,4564.25,4564.75,-0.75,1844,
2022-02-09 11:04:00,4564.75,4564.75,4563.5,4564,-0.75,1368,
2022-02-09 11:05:00,4564.25,4564.5,4561.5,4562.25,-1.75,1993,
2022-02-09 11:06:00,4562.25,4562.75,4560.5,4560.75,-1.5,2389,
2022-02-09 11:07:00,4560.75,4562,4560.25,4561.25,0.5,2430,
2022-02-09 11:08:00,4561.25,4561.75,4560,4560.25,-1,2509,
2022-02-09 11:09:00,4560.5,4562.5,4560,4562.25,2,5042,
2022-02-09 11:10:00,4562.25,4562.75,4561,4561.25,-1,1671,
2022-02-09 11:11:00,4561.5,4561.75,4560.25,4561,-0.25,1436,
2022-02-09 11:12:00,4561.25,4561.5,4558.25,4561.25,0.25,5482,
2022-02-09 11:13:00,4561,4562,4560.5,4561.5,0.25,1558,
2022-02-09 11:14:00,4561.75,4563.5,4561.25,4563.5,2,1908,
2022-02-09 11:15:00,4563.5,4564.25,4562.75,4562.75,-0.75,1660,
2022-02-09 11:16:00,4563,4563,4562,4562.5,-0.25,1564,
2022-02-09 11:17:00,4562.75,4564.25,4562.25,4564,1.5,1186,
2022-02-09 11:18:00,4564,4565.25,4563.25,4564.75,0.75,1302,
2022-02-09 11:19:00,4565,4565.5,4565,4565.25,0.5,1910,
2022-02-09 11:20:00,4565.25,4566,4563.75,4564.5,-0.75,2537,
2022-02-09 11:21:00,4564.5,4565.5,4564.25,4565.5,1,1304,
2022-02-09 11:22:00,4565.5,4566.75,4563.5,4565.25,-0.25,2425,
2022-02-09 11:23:00,4565,4567,4564.5,4566,0.75,1677,
2022-02-09 11:24:00,4566.25,4566.75,4565,4565.75,-0.25,1430,
2022-02-09 11:25:00,4565.75,4567.75,4565.5,4567,1.25,1437,
2022-02-09 11:26:00,4567,4567.5,4566.5,4567.25,0.25,1037,
2022-02-09 11:27:00,4567,4567.5,4566.25,4566.75,-0.5,1260,
2022-02-09 11:28:00,4566.75,4567.5,4566.5,4566.75,0,672,
2022-02-09 11:29:00,4566.75,4568,4565,4565.75,-1,2763,
2022-02-09 11:30:00,4566,4568.25,4563,4564.5,-1.25,5085,
2022-02-09 11:31:00,4564.25,4565,4562.75,4564.25,-0.25,3508,
2022-02-09 11:32:00,4564.25,4566.25,4564.25,4564.5,0.25,1455,
2022-02-09 11:33:00,4564.5,4565.5,4564.5,4565.5,1,957,
2022-02-09 11:34:00,4565.5,4565.75,4563.75,4564,-1.5,1303,
2022-02-09 11:35:00,4564,4564.75,4563.25,4564.5,0.5,1172,
2022-02-09 11:36:00,4564.25,4566.25,4564,4565.75,1.25,891,
2022-02-09 11:37:00,4565.75,4568.25,4565.25,4568.25,2.5,1481,
2022-02-09 11:38:00,4568.25,4569,4567,4568.75,0.5,2407,
2022-02-09 11:39:00,4568.5,4570,4568.25,4569.5,0.75,1848,
2022-02-09 11:40:00,4569.5,4570.75,4569,4569.25,-0.25,3046,
2022-02-09 11:41:00,4569.25,4569.5,4567.75,4568.5,-0.75,1450,
2022-02-09 11:42:00,4568.5,4569,4568,4568.75,0.25,867,
2022-02-09 11:43:00,4568.75,4570.25,4568.5,4570,1.25,1009,
2022-02-09 11:44:00,4570,4570.75,4569.75,4569.75,-0.25,1405,
2022-02-09 11:45:00,4569.75,4570.5,4569,4569.25,-0.5,1034,
2022-02-09 11:46:00,4569.25,4569.5,4568.25,4568.75,-0.5,1148,
2022-02-09 11:47:00,4568.75,4569.5,4568.25,4569.5,0.75,1178,
2022-02-09 11:48:00,4569.5,4569.75,4568.5,4569.25,-0.25,852,
2022-02-09 11:49:00,4569.5,4570.25,4569.25,4569.75,0.5,1045,
2022-02-09 11:50:00,4569.75,4570,4568.5,4569,-0.75,983,
2022-02-09 11:51:00,4569,4569,4568,4568,-1,1029,
2022-02-09 11:52:00,4568.25,4569,4567.5,4569,1,1036,
2022-02-09 11:53:00,4569,4569.75,4568.75,4569.25,0.25,782,
2022-02-09 11:54:00,4569.25,4569.75,4568.5,4569,-0.25,572,
2022-02-09 11:55:00,4569,4570.75,4569,4570.25,1.25,1412,
2022-02-09 11:56:00,4570.25,4570.5,4569.25,4569.5,-0.75,839,
2022-02-09 11:57:00,4569.75,4569.75,4568.25,4569.25,-0.25,1040,
